query_id,anchor_id,cohort_label,icd_codes,ops_filter,diagnosis_position,department,data_year,stratifier,priority,strat_priority,status,N_result,query_datetime,notes
Q001,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2019,summary,core,core,pending,,,
Q002,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2020,summary,core,core,pending,,,
Q003,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2021,summary,core,core,pending,,,
Q004,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2022,summary,core,core,pending,,,
Q005,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2023,summary,core,core,pending,,,
Q006,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2024,summary,core,core,pending,,,
Q007,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2019,sex,core,core,pending,,,
Q008,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2020,sex,core,core,pending,,,
Q009,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2021,sex,core,core,pending,,,
Q010,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2022,sex,core,core,pending,,,
Q011,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2023,sex,core,core,pending,,,
Q012,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2024,sex,core,core,pending,,,
Q013,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2019,age_band,core,core,pending,,,
Q014,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2020,age_band,core,core,pending,,,
Q015,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2021,age_band,core,core,pending,,,
Q016,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2022,age_band,core,core,pending,,,
Q017,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2023,age_band,core,core,pending,,,
Q018,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2024,age_band,core,core,pending,,,
Q019,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2019,los_band,core,core,pending,,,
Q020,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2020,los_band,core,core,pending,,,
Q021,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2021,los_band,core,core,pending,,,
Q022,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2022,los_band,core,core,pending,,,
Q023,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2023,los_band,core,core,pending,,,
Q024,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2024,los_band,core,core,pending,,,
Q025,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2019,discharge_reason,core,core,pending,,,
Q026,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2020,discharge_reason,core,core,pending,,,
Q027,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2021,discharge_reason,core,core,pending,,,
Q028,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2022,discharge_reason,core,core,pending,,,
Q029,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2023,discharge_reason,core,core,pending,,,
Q030,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2024,discharge_reason,core,core,pending,,,
Q031,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2019,ops_distribution,core,core,pending,,,
Q032,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2020,ops_distribution,core,core,pending,,,
Q033,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2021,ops_distribution,core,core,pending,,,
Q034,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2022,ops_distribution,core,core,pending,,,
Q035,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2023,ops_distribution,core,core,pending,,,
Q036,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2024,ops_distribution,core,core,pending,,,
Q037,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2019,drg_distribution,core,secondary,pending,,,
Q038,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2020,drg_distribution,core,secondary,pending,,,
Q039,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2021,drg_distribution,core,secondary,pending,,,
Q040,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2022,drg_distribution,core,secondary,pending,,,
Q041,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2023,drg_distribution,core,secondary,pending,,,
Q042,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2024,drg_distribution,core,secondary,pending,,,
Q043,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2019,pccl,core,secondary,pending,,,
Q044,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2020,pccl,core,secondary,pending,,,
Q045,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2021,pccl,core,secondary,pending,,,
Q046,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2022,pccl,core,secondary,pending,,,
Q047,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2023,pccl,core,secondary,pending,,,
Q048,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2024,pccl,core,secondary,pending,,,
Q049,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2019,hospital_bedsize,core,secondary,pending,,,
Q050,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2020,hospital_bedsize,core,secondary,pending,,,
Q051,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2021,hospital_bedsize,core,secondary,pending,,,
Q052,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2022,hospital_bedsize,core,secondary,pending,,,
Q053,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2023,hospital_bedsize,core,secondary,pending,,,
Q054,A1,Principal D32.0 (primary epidemiological cohort),D32.0,,principal,,2024,hospital_bedsize,core,secondary,pending,,,
Q055,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2019,summary,secondary,core,pending,,,
Q056,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2020,summary,secondary,core,pending,,,
Q057,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2021,summary,secondary,core,pending,,,
Q058,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2022,summary,secondary,core,pending,,,
Q059,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2023,summary,secondary,core,pending,,,
Q060,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2024,summary,secondary,core,pending,,,
Q061,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2019,sex,secondary,core,pending,,,
Q062,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2020,sex,secondary,core,pending,,,
Q063,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2021,sex,secondary,core,pending,,,
Q064,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2022,sex,secondary,core,pending,,,
Q065,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2023,sex,secondary,core,pending,,,
Q066,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2024,sex,secondary,core,pending,,,
Q067,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2019,age_band,secondary,core,pending,,,
Q068,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2020,age_band,secondary,core,pending,,,
Q069,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2021,age_band,secondary,core,pending,,,
Q070,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2022,age_band,secondary,core,pending,,,
Q071,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2023,age_band,secondary,core,pending,,,
Q072,A2,Principal-or-secondary D32.0 (hospital-contact burden; sensitivity),D32.0,,principal_or_secondary,,2024,age_band,secondary,core,pending,,,
Q073,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2019,summary,core,core,pending,,,
Q074,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2020,summary,core,core,pending,,,
Q075,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2021,summary,core,core,pending,,,
Q076,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2022,summary,core,core,pending,,,
Q077,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2023,summary,core,core,pending,,,
Q078,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2024,summary,core,core,pending,,,
Q079,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2019,sex,core,core,pending,,,
Q080,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2020,sex,core,core,pending,,,
Q081,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2021,sex,core,core,pending,,,
Q082,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2022,sex,core,core,pending,,,
Q083,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2023,sex,core,core,pending,,,
Q084,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2024,sex,core,core,pending,,,
Q085,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2019,age_band,core,core,pending,,,
Q086,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2020,age_band,core,core,pending,,,
Q087,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2021,age_band,core,core,pending,,,
Q088,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2022,age_band,core,core,pending,,,
Q089,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2023,age_band,core,core,pending,,,
Q090,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2024,age_band,core,core,pending,,,
Q091,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2019,los_band,core,core,pending,,,
Q092,A3,Principal D32.0 AND primary operative phenotype (5-015.3/.4),D32.0,5-015.3+5-015.4,principal,,2020,los_band,core,core,pending,,,
