task_id,source_id,genesis_table,icd_code,granularity,role,region_scope,year_range,priority,verify,status,N_or_status,retrieved_datetime,notes
T001,KH_DE_3d_basic,23131-0001,D32,icd_3digit,national_trend_basic,national,2005-2024,core,,pending,,,
T002,KH_DE_3d_basic,23131-0001,D42,icd_3digit,national_trend_basic,national,2005-2024,core,,pending,,,
T003,KH_DE_3d_basic,23131-0001,C70,icd_3digit,national_trend_basic,national,2005-2024,core,,pending,,,
T004,KH_DE_3d_agesex,23131-0002,D32,icd_3digit,national_age_sex_structure,national,2005-2024,core,,pending,,,provides the age x sex structure needed to age-standardise the 3-digit series
T005,KH_DE_3d_agesex,23131-0002,D42,icd_3digit,national_age_sex_structure,national,2005-2024,core,,pending,,,provides the age x sex structure needed to age-standardise the 3-digit series
T006,KH_DE_3d_agesex,23131-0002,C70,icd_3digit,national_age_sex_structure,national,2005-2024,core,,pending,,,provides the age x sex structure needed to age-standardise the 3-digit series
T007,KH_DE_3d_residence,23131-0003,D32,icd_3digit,residence_based_national,bundesland,2005-2024,secondary,,pending,,,
T008,KH_DE_3d_residence,23131-0003,D42,icd_3digit,residence_based_national,bundesland,2005-2024,secondary,,pending,,,
T009,KH_DE_3d_residence,23131-0003,C70,icd_3digit,residence_based_national,bundesland,2005-2024,secondary,,pending,,,
T010,KH_BL_3d_agesex,23131-0011,D32,icd_3digit,regional_treatment_place,bundesland,2005-2024,secondary,,pending,,,"Behandlungsort (treatment place), not residence. Population-risk regional analysis requires residence-based counts; use this as a centralisation descriptor unless a residence-by-Land table is confirmed at extraction."
T011,KH_BL_3d_agesex,23131-0011,D42,icd_3digit,regional_treatment_place,bundesland,2005-2024,secondary,,pending,,,"Behandlungsort (treatment place), not residence. Population-risk regional analysis requires residence-based counts; use this as a centralisation descriptor unless a residence-by-Land table is confirmed at extraction."
T012,KH_BL_3d_agesex,23131-0011,C70,icd_3digit,regional_treatment_place,bundesland,2005-2024,secondary,,pending,,,"Behandlungsort (treatment place), not residence. Population-risk regional analysis requires residence-based counts; use this as a centralisation descriptor unless a residence-by-Land table is confirmed at extraction."
T013,KH_4d_tiefgegliedert,"Tiefgegliederte Diagnosedaten der Krankenhauspatientinnen und -patienten (Statistischer Bericht, serial 5231301)",D32.0,icd_4digit,four_digit_cranial_series,national,2005-2024,core,first year of consistent 4-digit availability; whether any Land-level 4-digit exists,pending,,,
T014,KH_4d_tiefgegliedert,"Tiefgegliederte Diagnosedaten der Krankenhauspatientinnen und -patienten (Statistischer Bericht, serial 5231301)",D32.1,icd_4digit,four_digit_cranial_series,national,2005-2024,core,first year of consistent 4-digit availability; whether any Land-level 4-digit exists,pending,,,
T015,KH_4d_tiefgegliedert,"Tiefgegliederte Diagnosedaten der Krankenhauspatientinnen und -patienten (Statistischer Bericht, serial 5231301)",D32.9,icd_4digit,four_digit_cranial_series,national,2005-2024,core,first year of consistent 4-digit availability; whether any Land-level 4-digit exists,pending,,,
T016,KH_4d_tiefgegliedert,"Tiefgegliederte Diagnosedaten der Krankenhauspatientinnen und -patienten (Statistischer Bericht, serial 5231301)",D42.0,icd_4digit,four_digit_cranial_series,national,2005-2024,core,first year of consistent 4-digit availability; whether any Land-level 4-digit exists,pending,,,
T017,KH_4d_tiefgegliedert,"Tiefgegliederte Diagnosedaten der Krankenhauspatientinnen und -patienten (Statistischer Bericht, serial 5231301)",C70.0,icd_4digit,four_digit_cranial_series,national,2005-2024,core,first year of consistent 4-digit availability; whether any Land-level 4-digit exists,pending,,,
T018,POP_DE_agesex,12411-0005,,population,national_denominator,national,2005-2024,core,confirm the national sex x single-year-of-age table id; aggregate to 5-year bands,pending,,,
T019,POP_BL_agesex,12411-01xx,,population,regional_denominator,bundesland,2005-2024,secondary,confirm the Bundeslaender sex x age table id,pending,,,
T020,ESP2013,Eurostat — Revision of the European Standard Population (2013),,standard_populations,primary_standardisation_weights,national,2005-2024,core,,pending,,,5-year age bands to 95+; primary standard for age-standardised episode rates
T021,SEGI_WORLD,Segi/WHO World Standard Population,,standard_populations,secondary_standardisation_weights,national,2005-2024,secondary,,pending,,,
T022,EUROSTAT_DISCH,"Eurostat hlth_co_disch* (hospital discharges by diagnosis, EU)",,optional_context,comparative_european_context,national,2005-2024,exploratory,,pending,,,
